x,y,B,G,R
3,20,247,247,247
4,20,247,247,247
5,20,247,247,247
6,20,247,246,248
7,20,247,246,248
8,20,247,246,248
9,20,247,246,248
10,20,247,246,248
11,20,247,246,248
12,20,247,247,247
13,20,247,247,247
14,20,247,247,247
15,20,247,248,246
16,20,250,251,249
17,20,237,240,238
18,20,248,254,253
19,20,244,248,249
20,20,253,246,249
21,20,255,251,246
22,20,252,255,233
23,20,170,184,150
24,20,169,187,150
25,20,169,184,156
26,20,250,253,244
27,20,249,244,246
28,20,251,245,250
29,20,245,239,244
30,20,255,249,254
31,20,246,246,246
32,20,240,250,238
33,20,238,248,236
34,20,245,248,246
35,20,251,250,254
36,20,246,247,251
37,20,241,244,248
3,21,247,247,247
4,21,247,247,247
5,21,247,247,247
6,21,247,246,248
7,21,247,246,248
8,21,247,246,248
9,21,247,246,248
10,21,247,246,248
11,21,247,246,248
12,21,247,247,247
13,21,247,247,247
14,21,247,247,247
15,21,245,247,248
16,21,244,246,247
17,21,244,248,249
18,21,240,245,246
19,21,244,246,246
20,21,255,248,251
21,21,255,247,239
22,21,204,200,171
23,21,211,216,171
24,21,209,221,169
25,21,133,145,103
26,21,247,251,232
27,21,249,248,244
28,21,251,249,249
29,21,255,252,251
30,21,252,249,241
31,21,249,250,234
32,21,243,255,234
33,21,245,255,241
34,21,237,243,238
35,21,246,245,247
36,21,249,248,252
37,21,250,249,253
3,22,245,247,247
4,22,247,247,247
5,22,247,247,247
6,22,247,247,247
7,22,247,247,247
8,22,247,247,247
9,22,247,247,247
10,22,247,247,247
11,22,247,247,247
12,22,245,247,248
13,22,245,247,248
14,22,245,247,248
15,22,245,246,250
16,22,245,244,254
17,22,246,248,255
18,22,237,245,244
19,22,242,248,243
20,22,255,247,247
21,22,255,252,244
22,22,227,206,175
23,22,231,214,165
24,22,148,139,75
25,22,151,150,92
26,22,253,255,227
27,22,243,250,237
28,22,246,250,245
29,22,245,246,236
30,22,255,255,227
31,22,149,149,109
32,22,136,150,116
33,22,233,249,225
34,22,250,255,248
35,22,246,248,248
36,22,243,240,242
37,22,249,245,250
3,23,245,247,247
4,23,247,247,247
5,23,247,247,247
6,23,247,247,247
7,23,247,247,247
8,23,247,247,247
9,23,247,247,247
10,23,247,247,247
11,23,247,247,247
12,23,245,247,248
13,23,245,247,248
14,23,245,247,248
15,23,245,245,251
16,23,245,241,253
17,23,243,242,252
18,23,245,252,249
19,23,242,247,238
20,23,255,248,240
21,23,223,199,181
22,23,248,211,173
23,23,168,130,76
24,23,162,132,67
25,23,175,155,97
26,23,156,147,113
27,23,179,178,158
28,23,184,182,164
29,23,255,252,225
30,23,152,134,87
31,23,145,133,79
32,23,138,147,104
33,23,246,255,231
34,23,239,249,233
35,23,244,248,243
36,23,251,248,250
37,23,250,244,249
3,24,242,244,244
4,24,246,247,245
5,24,248,249,247
6,24,248,246,245
7,24,251,249,248
8,24,248,246,245
9,24,246,244,243
10,24,250,251,249
11,24,248,249,247
12,24,245,247,247
13,24,246,248,248
14,24,249,251,252
15,24,246,245,249
16,24,251,247,253
17,24,255,249,254
18,24,248,244,243
19,24,254,248,237
20,24,255,249,231
21,24,236,204,169
22,24,180,133,79
23,24,187,132,71
24,24,186,130,75
25,24,173,127,80
26,24,237,206,175
27,24,231,209,181
28,24,198,177,139
29,24,164,136,89
30,24,175,132,75
31,24,166,132,73
32,24,152,151,101
33,24,248,255,225
34,24,237,248,228
35,24,248,252,246
36,24,251,249,249
37,24,251,244,249
3,25,247,249,249
4,25,247,248,246
5,25,242,243,241
6,25,254,252,251
7,25,246,245,241
8,25,250,248,247
9,25,253,251,250
10,25,246,244,243
11,25,246,247,245
12,25,244,244,244
13,25,244,246,246
14,25,244,246,247
15,25,247,246,248
16,25,250,245,247
17,25,252,244,244
18,25,255,252,239
19,25,255,255,237
20,25,152,130,95
21,25,158,124,78
22,25,186,136,78
23,25,133,76,15
24,25,133,72,22
25,25,179,123,82
26,25,243,200,167
27,25,242,206,170
28,25,168,132,84
29,25,117,77,19
30,25,183,128,67
31,25,178,134,73
32,25,161,150,93
33,25,138,147,104
34,25,251,255,238
35,25,241,249,239
36,25,250,248,248
37,25,249,243,248
3,26,246,246,246
4,26,252,250,249
5,26,250,249,245
6,26,251,248,244
7,26,250,247,242
8,26,253,250,246
9,26,246,245,241
10,26,246,245,241
11,26,255,255,252
12,26,249,250,248
13,26,240,241,239
14,26,251,253,253
15,26,246,246,246
16,26,249,247,247
17,26,255,250,239
18,26,255,255,224
19,26,160,140,93
20,26,171,144,94
21,26,172,138,85
22,26,112,70,17
23,26,121,74,22
24,26,121,72,22
25,26,122,75,31
26,26,120,77,38
27,26,109,67,25
28,26,173,130,81
29,26,120,73,17
30,26,132,78,17
31,26,176,133,70
32,26,153,135,76
33,26,152,152,104
34,26,247,255,229
35,26,246,254,243
36,26,238,238,238
37,26,247,243,248
3,27,248,249,247
4,27,246,244,243
5,27,250,249,245
6,27,245,242,237
7,27,144,141,136
8,27,250,247,242
9,27,252,249,244
10,27,251,248,243
11,27,244,243,239
12,27,245,244,240
13,27,251,252,250
14,27,247,248,246
